"","rating","name","address","price","reviews","reservations","delivery","takeaway","takescard","mealtype","parking","kidfriendly","groupfriendly","dresscode","atmosphere","noise","alcohol","sitoutside","wifi","tv","serving","catering","handicapfriendly","dancing","happyhour","closet","smoking","workfriendly","music","pooltable"
"801",3.5,"
            Divan
        ","Nørrebrogade 245","
                        Under 199 kr
                    ",9,1,0,1,1,NA,NA,1,1,"
                                Elegant
                            ","
                                Uformel
                            ","
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Nej
                            ",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"802",3.5,"
            Sam’s Pizza
        ","Strandboulevarden 57",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803",2.5,"
            Tapas G
        ","Kejsergade 2","
                        200-399 kr
                    ",6,1,0,0,1,NA,NA,1,1,"
                                Uformel
                            ",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804",2.5,"
            Gao
        ","Blågårdsgade 3","
                        Under 199 kr
                    ",5,0,0,1,1,NA,NA,0,0,"
                                Uformel
                            ",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"805",2.5,NA,"Vandkunsten 1","
                        Under 199 kr
                    ",21,1,0,1,1,"
                                Frokost
                            ",NA,0,1,"
                                Uformel
                            ","
                                Uformel
                            ","
                                Højt
                            ","
                                Kun øl og vin
                            ",0,"
                                Gratis
                            ",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"806",4,"
            Mad Synergi
        ","Åboulevard 13A","
                        Under 199 kr
                    ",NA,0,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",4,"
            Small Three Gorges
        ","Linnésgade 14",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
                                Gratis
                            ",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",4,"
            Sticks ‘n’ Sushi
        ","Borgergade 13","
                        200-399 kr
                    ",14,1,1,1,1,NA,NA,1,1,"
                                Elegant
                            ",NA,NA,NA,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"809",5,NA,"Frederikssundsvej 110","
                        Under 199 kr
                    ",4,1,0,1,1,NA,NA,NA,0,"
                                Uformel
                            ",NA,"
                                Lavt
                            ","
                                Nej
                            ",0,"
                                Nej
                            ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",5,"
            Baglokalet
        ","Sundbyvestervej 60",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",4.5,"
            Creative Space
        ","Kastelsvej 1",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812",5,"
            Baglokalet
        ","Sundbyvestervej 60",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",3.5,"
            El Jefe
        ","1450",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814",3,"
            Be Steak
        ","Østergade 52","
                        400-699 kr
                    ",3,0,0,1,1,NA,NA,0,0,"
                                Uformel
                            ",NA,"
                                Lavt
                            ","
                                Nej
                            ",1,"
                                Gratis
                            ",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",2.5,"
            NyhavnC
        ","Nyhavn 33","
                        Mere end 700 kr
                    ",3,1,0,0,1,NA,NA,1,0,"
                                Uformel
                            ",NA,"
                                Lavt
                            ","
                                Velassorteret bar
                            ",1,"
                                Gratis
                            ",0,1,0,1,NA,NA,NA,NA,NA,NA,NA
"816",4,"
            No 95 En Kaffebar
        ","Amagerbrogade 95","
                        Under 199 kr
                    ",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",3.5,"
            Den Plettede Gris
        ","Trangravsvej 5","
                        Under 199 kr
                    ",3,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",3,"
            Workshop Coffee
        ","Frederiksborggade 18","
                        Under 199 kr
                    ",3,NA,0,NA,1,NA,NA,0,0,"
                                Uformel
                            ",NA,"
                                Lavt
                            ","
                                Kun øl og vin
                            ",1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"819",4,"
            Les Trois Cochons
        ","Værnedamsvej 10","
                        400-699 kr
                    ",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
